,name,site_link
149,웅크리고 앉아 손잡고 상체 숙이기,/entry.naver?docId=3535458&categoryId=58501&cid=58501
150,마주보고 상체 좌우 비틀기,/entry.naver?docId=3535459&categoryId=58501&cid=58501
151,가슴 어깨 펴기,/entry.naver?docId=3535460&categoryId=58501&cid=58501
152,나란히 서서 손잡고 끌어당기기,/entry.naver?docId=3535461&categoryId=58501&cid=58501
153,어깨 누르기,/entry.naver?docId=3535462&categoryId=58501&cid=58501
154,팔 당기기,/entry.naver?docId=3535463&categoryId=58501&cid=58501
155,겨드랑이 늘리기,/entry.naver?docId=3535464&categoryId=58501&cid=58501
156,목 스트레칭,/entry.naver?docId=3535465&categoryId=58501&cid=58501
157,몸통 비틀기,/entry.naver?docId=3535466&categoryId=58501&cid=58501
158,나무자세,/entry.naver?docId=3535467&categoryId=58501&cid=58501
159,시소우,/entry.naver?docId=3535468&categoryId=58501&cid=58501
160,레그 스윙,/entry.naver?docId=3535469&categoryId=58501&cid=58501
161,측면 팔대고 버티기,/entry.naver?docId=3535470&categoryId=58501&cid=58501
162,스타 투 니 풀,/entry.naver?docId=3535471&categoryId=58501&cid=58501
163,합장하여 앞으로 숙이기,/entry.naver?docId=3535472&categoryId=58501&cid=58501
164,전갈자세,/entry.naver?docId=3535473&categoryId=58501&cid=58501
165,회전 초승달 자세,/entry.naver?docId=3535474&categoryId=58501&cid=58501
166,전사자세,/entry.naver?docId=3535475&categoryId=58501&cid=58501
167,소머리 자세,/entry.naver?docId=3535476&categoryId=58501&cid=58501
168,다리자세,/entry.naver?docId=3535477&categoryId=58501&cid=58501
169,모관운동,/entry.naver?docId=3535478&categoryId=58501&cid=58501
170,앉은 산 자세,/entry.naver?docId=3535479&categoryId=58501&cid=58501
171,결가부좌,/entry.naver?docId=3535480&categoryId=58501&cid=58501
172,휴식자세,/entry.naver?docId=3535481&categoryId=58501&cid=58501
173,아기자세,/entry.naver?docId=3535482&categoryId=58501&cid=58501
174,왜가리 자세,/entry.naver?docId=3535483&categoryId=58501&cid=58501
175,나비자세,/entry.naver?docId=3535484&categoryId=58501&cid=58501
176,발 끝 당기기,/entry.naver?docId=3535485&categoryId=58501&cid=58501
177,발목 돌리기,/entry.naver?docId=3535486&categoryId=58501&cid=58501
178,엎드려 한발 원 그리기,/entry.naver?docId=3535487&categoryId=58501&cid=58501
179,누워 한발 원 그리기,/entry.naver?docId=3535488&categoryId=58501&cid=58501
180,물고기 자세,/entry.naver?docId=3535489&categoryId=58501&cid=58501
181,반달자세,/entry.naver?docId=3535490&categoryId=58501&cid=58501
182,복식호흡,/entry.naver?docId=3535491&categoryId=58501&cid=58501
183,고양이 자세,/entry.naver?docId=3535492&categoryId=58501&cid=58501
184,짐볼 운동 루틴프로그램,/entry.naver?docId=3535494&categoryId=58501&cid=58501
185,메디신볼 운동 루틴프로그램,/entry.naver?docId=3535495&categoryId=58501&cid=58501
186,백 슬라이드,/entry.naver?docId=3535496&categoryId=58501&cid=58501
187,양손 모아 균형 잡기,/entry.naver?docId=3535497&categoryId=58501&cid=58501
188,다리 교대로 들어올리기,/entry.naver?docId=3535498&categoryId=58501&cid=58501
189,짐볼 윗몸일으키기,/entry.naver?docId=3535499&categoryId=58501&cid=58501
190,짐볼 배에 대고 버티기,/entry.naver?docId=3535500&categoryId=58501&cid=58501
191,짐볼 전완대고 버티기,/entry.naver?docId=3535501&categoryId=58501&cid=58501
192,누워 무릎 교차 올리기,/entry.naver?docId=3535502&categoryId=58501&cid=58501
193,양발 교차 올리기,/entry.naver?docId=3535503&categoryId=58501&cid=58501
194,허리 비틀어 볼 주고받기,/entry.naver?docId=3535504&categoryId=58501&cid=58501
195,볼 잡고 점프하기,/entry.naver?docId=3535505&categoryId=58501&cid=58501
196,메디신 볼 잡고 런지하며 상체비틀기,/entry.naver?docId=3535506&categoryId=58501&cid=58501
197,종아리 사이 감아 돌리기,/entry.naver?docId=3535507&categoryId=58501&cid=58501
198,볼 튕기면서 스쿼트,/entry.naver?docId=3535508&categoryId=58501&cid=58501
199,메디신 볼 잡고 팔굽혀펴기,/entry.naver?docId=3535509&categoryId=58501&cid=58501
200,허리 감아 볼 돌리기,/entry.naver?docId=3535510&categoryId=58501&cid=58501
201,볼 잡고 몸통 기울이기,/entry.naver?docId=3535511&categoryId=58501&cid=58501
202,머리 위로 볼 돌리기,/entry.naver?docId=3535512&categoryId=58501&cid=58501
203,목 굽힘/폄 I,/entry.naver?docId=3535517&categoryId=58501&cid=58501
204,목 굽힘/폄 II,/entry.naver?docId=3535516&categoryId=58501&cid=58501
205,목 굽힘/폄 III,/entry.naver?docId=3535515&categoryId=58501&cid=58501
206,팔꿈치 굽히기,/entry.naver?docId=3535518&categoryId=58501&cid=58501
207,물병 옆으로 들어올리기,/entry.naver?docId=3535519&categoryId=58501&cid=58501
208,허리 굽혀 팔 뒤로 들기,/entry.naver?docId=3535520&categoryId=58501&cid=58501
209,뒤로 팔굽혀펴기,/entry.naver?docId=3535521&categoryId=58501&cid=58501
210,팔굽혀펴기,/entry.naver?docId=3535522&categoryId=58501&cid=58501
211,네발기기 자세에서 다리 위로 뻗어올리기,/entry.naver?docId=3535523&categoryId=58501&cid=58501
212,짐볼에 다리 올리고 좌우로 움직이기,/entry.naver?docId=3535524&categoryId=58501&cid=58501
213,서서 탄력밴드 당겨내리기/올리기,/entry.naver?docId=3535525&categoryId=58501&cid=58501
214,탄력밴드 어깨 가쪽 돌림,/entry.naver?docId=3535526&categoryId=58501&cid=58501
215,짐볼에 엎드려서 몸통 젖히기,/entry.naver?docId=3535527&categoryId=58501&cid=58501
216,짐볼에 엎드려서 팔 다리 들기,/entry.naver?docId=3535528&categoryId=58501&cid=58501
217,네발기기 자세에서 손바닥으로 바닥밀기,/entry.naver?docId=3535529&categoryId=58501&cid=58501
218,엎드려서 팔 다리 들기,/entry.naver?docId=3535530&categoryId=58501&cid=58501
219,네발기기 자세로 팔 다리 들기,/entry.naver?docId=3535531&categoryId=58501&cid=58501
220,짐볼에 다리 올리고 엉덩이 들어올리기,/entry.naver?docId=3535532&categoryId=58501&cid=58501
221,누워서 엉덩이 들어올리기,/entry.naver?docId=3535533&categoryId=58501&cid=58501
