name,site_link,운동대상,체력항목,운동형태,운동부위,시설 필요유무
벽에서 팔굽혀 펴기,/entry.naver?docId=3535673&categoryId=58501&cid=58501,어르신,근력/근지구력,맨몸,가슴/위팔뒤쪽,N
플렉스 바 비틀기,/entry.naver?docId=3535674&categoryId=58501&cid=58501,어르신,근력/근지구력,플렉스 바,아래팔,Y
밴드 머리 뒤로 들어올리기,/entry.naver?docId=3535675&categoryId=58501&cid=58501,어르신,근력/근지구력,밴드,위팔뒤쪽,Y
물통으로 양팔 들어올리기,/entry.naver?docId=3535676&categoryId=58501&cid=58501,어르신,근력/근지구력,물병,위팔앞쪽,Y
몸통 들어올리기,/entry.naver?docId=3535677&categoryId=58501&cid=58501,어르신,근력/근지구력,맨몸,둔부/허리,N
엎드려 뒤로 다리 올리기,/entry.naver?docId=3535678&categoryId=58501&cid=58501,어르신,근력/근지구력,맨몸,둔부/몸통,N
밴드 잡고 누워서 다리 밀기,/entry.naver?docId=3535679&categoryId=58501&cid=58501,어르신,근력/근지구력,밴드,허벅지,Y
의자 앉아 다리로 짐볼 쥐기,/entry.naver?docId=3535680&categoryId=58501&cid=58501,어르신,근력/근지구력,짐볼/의자,허벅지내측,Y
밴드 걸고 옆으로 누워 다리 올리기,/entry.naver?docId=3535681&categoryId=58501&cid=58501,어르신,근력/근지구력,밴드,허벅지외측,Y
밴드 걸고 앉아서 발등 굽힘,/entry.naver?docId=3535682&categoryId=58501&cid=58501,어르신,근력/근지구력,밴드,종아리,Y
목봉잡고 앉았다 일어서기,/entry.naver?docId=3535683&categoryId=58501&cid=58501,어르신,근력/근지구력,목봉,허벅지,Y
밴드 걸고 누워서 다리 들어올리기,/entry.naver?docId=3535684&categoryId=58501&cid=58501,어르신,근력/근지구력,밴드,허벅지앞쪽,Y
밴드 걸고 엎드려서 다리 구부리기,/entry.naver?docId=3535685&categoryId=58501&cid=58501,어르신,근력/근지구력,밴드,허벅지뒤쪽,Y
물병 들고 한발 앞으로 내밀고 앉았다 일어서기,/entry.naver?docId=3535686&categoryId=58501&cid=58501,어르신,근력/근지구력,물병,몸통/둔부,Y
공 잡고 들어올리기,/entry.naver?docId=3535687&categoryId=58501&cid=58501,어르신,근력/근지구력,짐볼,하체,Y
짐볼 이용해 앉았다 일어서기,/entry.naver?docId=3535688&categoryId=58501&cid=58501,어르신,근력/근지구력,짐볼,허벅지,Y
앉아서 덤벨로 손목 굽히기,/entry.naver?docId=3535689&categoryId=58501&cid=58501,어르신,근력/근지구력,프리웨이트,아래팔앞쪽,Y
