,TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,PRES_NOTE,TEST_SEX,kind_age
4260,2,증평,성인,일반,46,관리자,3등급,20211027,"준비운동:짐볼을 이용한 동적 루틴 스트레칭,작은 공을 이용한 동적 루틴 스트레칭 ,자가근막이완술 루틴 스트레칭,척추 스트레칭,어깨 올리기,어깨 스트레칭,팔 교대로 올리기,옆으로 누워 가슴 열기,가슴 스트레칭,옆으로 누워 폼롤러 굴려주기,폼롤러 앞으로 굴리기,폼롤러 밀며 몸 앞으로 숙이기",M,40대
4342,1,화성,성인,일반,48,관리자,3등급,20211027,"준비운동:전신 루틴 스트레칭 / 본운동:엎드려서 팔 다리 들기,네발기기 자세로 팔 다리 들기,누워서 수직으로 다리 들어올리기 ,누워서 팔 다리 동시에 들어올리기,엎드려 버티기,윗몸올리기 ,달리기,실내 자전거타기,트레드밀에서 걷기,수영 / 마무리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭",F,40대
4583,1,강북,성인,출장,41,관리자,3등급,20211018,"준비운동:팔굽혀펴기,윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,뒤로 팔굽혀펴기",F,40대
4646,1,천안,성인,일반,48,관리자,3등급,20211023,"준비운동:턱걸이,손목 펴기/굽히기,앉아서 팔꿈치 굽히기/펴기 ,실외 자전거타기,줄넘기,계단 올라갔다 내려오기,앉아서 다리 밀기,앉았다 일어서기",F,40대
4665,3,고양,성인,일반,44,관리자,3등급,20211027,"준비운동:상지 루틴 스트레칭 / 본운동:서서 균형잡기,엎드려 버티기,누워서 다리 들어올리기",F,40대
4939,1,달서,성인,일반,48,인바디,3등급,20211026,"준비운동:달리기,실내 자전거타기,줄넘기,앉아서 다리 밀기,앉아서 다리 펴기,앉아서 다리 굽히기,몸통 들어올리기,파워클린,짐볼 이용 근력운동 루틴 프로그램,머신이용 근력운동 루틴프로그램,팔굽혀 펴기,누워 다리 들어올리기,누워서 덤벨 들어올리기,고정한 상태에서 덤벨 들고 팔꿈치 굽히기,턱걸이,윗몸올리기",M,40대
5153,1,KSPO아산,성인,일반,40,관리자,3등급,20211018,"준비운동:발에 밴드걸고 윗몸일으키기,한 발 뒤로 들어올리기,런지하며 상체 비틀기 / 본운동:누워서 팔 밀기,앉아서 가슴 모으기,앉아서 양팔 당기기,앉아서 당겨 내리기,몸통 옆으로 굽히기,앉아서 몸통 움츠리기 / 마무리운동:앉았다 일어서기,앞굽이 앉았다 일어서기,연속 사이드 스쿼드",F,40대
5163,6,순천,성인,일반,44,관리자,3등급,20211002,"준비운동:걷기 / 본운동:팔벌려뛰기,버피운동 / 마무리운동:실내 자전거타기",M,40대
5164,4,순천,성인,일반,42,관리자,3등급,20211002,"준비운동:걷기 / 본운동:팔벌려뛰기,버피운동 / 마무리운동:실내 자전거타기",M,40대
5177,2,순천,성인,일반,47,관리자,3등급,20211002,"준비운동:걷기 / 본운동:상지 루틴 스트레칭,전신 루틴 스트레칭 / 마무리운동:실내 자전거타기",F,40대
5308,1,원주,성인,일반,43,관리자,3등급,20211018,"준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,상지 루틴 스트레칭,하지 루틴 스트레칭1 / 본운동:실내 자전거타기,수영,달리기,앉았다 일어서기,팔굽혀펴기,윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,엎드려서 팔 다리 들기 / 마무리운동:누워서 전신 뻗기,엉덩이 스트레칭,엉덩이 스트레칭2,몸통 스트레칭,하지 루틴 스트레칭2",F,40대
5314,4,달서,성인,일반,41,인바디,3등급,20211018,"준비운동:팔굽혀 펴기,뒤꿈치 들기,누워 다리 들어올리기,윗몸 말아 올리기,의자 앞에서 앉았다 일어서기,누워서 엉덩이 들어올리기,덤벨 잡고 뒤꿈치 들기,전완대고 버티기,플렉스 바 비틀기 / 본운동:달리기,줄넘기,계단 뛰어 오르기,자전거타기,스텝박스 오르내리기",M,40대
5324,2,구미,성인,일반,41,관리자,3등급,20211002,"본운동:윗몸올리기 ,옆으로 누워 버티기,누워서 엉덩이 들어올리기,엎드려서 팔 다리 들기 / 마무리운동:허리 스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭",M,40대
